p,za,theta,n_ext,seed,T,A,R
0.206,52.9,71.0,1.0,29,0.008819,0.002257,0.988924
0.206,52.9,71.0,1.0,53,0.005183,0.00229,0.992528
0.206,52.9,72.0,1.0,13,0.004561,0.002221,0.993218
0.206,52.9,72.0,1.0,29,0.005845,0.002201,0.991953
0.206,52.9,72.0,1.0,53,0.004872,0.002173,0.992955
0.206,52.9,73.0,1.0,13,0.004582,0.002054,0.993364
0.206,52.9,73.0,1.0,29,0.005512,0.001999,0.992489
0.206,52.9,73.0,1.0,53,0.004646,0.002063,0.993291
0.206,52.9,74.0,1.0,13,0.002764,0.001936,0.995301
0.206,52.9,74.0,1.0,29,0.003853,0.001886,0.994261
0.206,52.9,74.0,1.0,53,0.004356,0.00196,0.993684
0.206,52.9,75.0,1.0,13,0.002288,0.001842,0.99587
0.206,52.9,75.0,1.0,29,0.003733,0.001808,0.994459
0.206,52.9,75.0,1.0,53,0.004167,0.001848,0.993985
0.206,52.9,76.0,1.0,13,0.002631,0.00177,0.995598
0.206,52.9,76.0,1.0,29,0.004329,0.001737,0.993935
0.206,52.9,76.0,1.0,53,0.003927,0.001725,0.994348
0.206,52.9,77.0,1.0,13,0.003794,0.001707,0.994499
0.206,52.9,77.0,1.0,29,0.005356,0.001667,0.992977
0.206,52.9,77.0,1.0,53,0.003588,0.001596,0.994816
0.206,52.9,78.0,1.0,13,0.00584,0.001653,0.992507
0.206,52.9,78.0,1.0,29,0.007482,0.00159,0.990928
0.206,52.9,78.0,1.0,53,0.003337,0.001464,0.995199
0.206,52.9,79.0,1.0,13,0.008503,0.001605,0.989892
0.206,52.9,79.0,1.0,29,0.009995,0.001529,0.988476
0.206,52.9,79.0,1.0,53,0.00304,0.001341,0.995619
0.206,52.9,80.0,1.0,13,0.010375,0.001503,0.988122
0.206,52.9,80.0,1.0,29,0.011143,0.001402,0.987455
0.206,52.9,80.0,1.0,53,0.002785,0.001232,0.995984
0.206,52.9,81.0,1.0,13,0.012607,0.001364,0.986029
0.206,52.9,81.0,1.0,29,0.013033,0.001244,0.985724
0.206,52.9,81.0,1.0,53,0.002538,0.001124,0.996338
0.206,52.9,82.0,1.0,13,0.015368,0.00128,0.983353
0.206,52.9,82.0,1.0,29,0.015687,0.001145,0.983168
0.206,52.9,82.0,1.0,53,0.002276,0.001,0.996725
0.206,52.9,83.0,1.0,13,0.018509,0.001231,0.980259
0.206,52.9,83.0,1.0,29,0.018859,0.00109,0.980051
0.206,52.9,83.0,1.0,53,0.00204,0.000867,0.997093
0.206,52.9,84.0,1.0,13,0.01971,0.001172,0.979117
0.206,52.9,84.0,1.0,29,0.01989,0.001036,0.979074
0.206,52.9,84.0,1.0,53,0.001746,0.000736,0.997518
0.206,52.9,66.0,1.33,13,0.049495,0.017339,0.933167
0.206,52.9,66.0,1.33,29,0.029507,0.01772,0.952773
0.206,52.9,66.0,1.33,53,0.061855,0.017594,0.920551
0.206,52.9,67.0,1.33,13,0.037711,0.017302,0.944987
0.206,52.9,67.0,1.33,29,0.01879,0.017765,0.963445
0.206,52.9,67.0,1.33,53,0.042882,0.017293,0.939825
0.206,52.9,68.0,1.33,13,0.039507,0.017318,0.943175
0.206,52.9,68.0,1.33,29,0.023088,0.017759,0.959153
0.206,52.9,68.0,1.33,53,0.039835,0.016904,0.943261
0.206,52.9,69.0,1.33,13,0.044841,0.01734,0.937819
0.206,52.9,69.0,1.33,29,0.029041,0.017733,0.953226
0.206,52.9,69.0,1.33,53,0.039035,0.016655,0.94431
0.206,52.9,70.0,1.33,13,0.047196,0.017096,0.935708
0.206,52.9,70.0,1.33,29,0.031373,0.017442,0.951185
0.206,52.9,70.0,1.33,53,0.037054,0.016208,0.946738
0.206,52.9,71.0,1.33,13,0.047374,0.016302,0.936324
0.206,52.9,71.0,1.33,29,0.035851,0.016699,0.94745
0.206,52.9,71.0,1.33,53,0.038165,0.01553,0.946305
0.206,52.9,72.0,1.33,13,0.033763,0.015057,0.95118
0.206,52.9,72.0,1.33,29,0.024105,0.015607,0.960288
0.206,52.9,72.0,1.33,53,0.035347,0.014649,0.950004
0.206,52.9,73.0,1.33,13,0.039853,0.01395,0.946196
0.206,52.9,73.0,1.33,29,0.033144,0.014472,0.952384
0.206,52.9,73.0,1.33,53,0.035247,0.013818,0.950935
0.206,52.9,74.0,1.33,13,0.034462,0.012972,0.952566
0.206,52.9,74.0,1.33,29,0.027987,0.013571,0.958443
0.206,52.9,74.0,1.33,53,0.032427,0.013377,0.954196
0.206,52.9,75.0,1.33,13,0.030197,0.012348,0.957455
0.206,52.9,75.0,1.33,29,0.023978,0.013327,0.962695
0.206,52.9,75.0,1.33,53,0.035006,0.013189,0.951806
0.206,52.9,76.0,1.33,13,0.024942,0.011989,0.963069
0.206,52.9,76.0,1.33,29,0.019191,0.013039,0.96777
0.206,52.9,76.0,1.33,53,0.035103,0.012775,0.952122
0.206,52.9,77.0,1.33,13,0.024675,0.011795,0.96353
0.206,52.9,77.0,1.33,29,0.017256,0.012854,0.96989
0.206,52.9,77.0,1.33,53,0.031191,0.011962,0.956847
0.206,52.9,78.0,1.33,13,0.02091,0.010701,0.968389
0.206,52.9,78.0,1.33,29,0.01445,0.011555,0.973995
0.206,52.9,78.0,1.33,53,0.029591,0.01063,0.959779
0.206,52.9,79.0,1.33,13,0.026432,0.010113,0.963455
0.206,52.9,79.0,1.33,29,0.017898,0.010709,0.971394
0.206,52.9,79.0,1.33,53,0.026569,0.009478,0.963953
0.206,52.9,80.0,1.33,13,0.03507,0.00993,0.955001
0.206,52.9,80.0,1.33,29,0.026284,0.010374,0.963343
0.206,52.9,80.0,1.33,53,0.023422,0.008741,0.967838
0.206,52.9,81.0,1.33,13,0.051385,0.010196,0.938419
0.206,52.9,81.0,1.33,29,0.042492,0.010434,0.947074
0.206,52.9,81.0,1.33,53,0.022568,0.008652,0.96878
0.206,52.9,82.0,1.33,13,0.073454,0.009471,0.917075
0.206,52.9,82.0,1.33,29,0.060364,0.009617,0.930019
0.206,52.9,82.0,1.33,53,0.022067,0.008254,0.969679
0.206,52.9,83.0,1.33,13,0.089548,0.008339,0.902113
0.206,52.9,83.0,1.33,29,0.074283,0.008396,0.917321
0.206,52.9,83.0,1.33,53,0.019081,0.007072,0.973848
0.206,52.9,84.0,1.33,13,0.092899,0.007401,0.8997
0.206,52.9,84.0,1.33,29,0.078397,0.007402,0.914202
0.206,52.9,84.0,1.33,53,0.015471,0.005763,0.978766
